SNR_dB,Trial,BER_BPSK,BER_QPSK,BER_16QAM,Best_Modulation
-1.0,10,0.10375,0.105,0.21174,BPSK
-0.5,1,0.09115,0.09178,0.1976,BPSK
-0.5,2,0.09311,0.09071,0.19824,BPSK
-0.5,3,0.08992,0.09169,0.19817,BPSK
-0.5,4,0.08974,0.09043,0.19642,BPSK
-0.5,5,0.09065,0.09105,0.19796,BPSK
-0.5,6,0.09229,0.08994,0.19758,BPSK
-0.5,7,0.09059,0.09149,0.19562,BPSK
-0.5,8,0.0919,0.09048,0.19906,BPSK
-0.5,9,0.09156,0.09157,0.19774,BPSK
-0.5,10,0.09054,0.09061,0.19808,BPSK
0.0,1,0.07743,0.07834,0.18435,BPSK
0.0,2,0.07877,0.07926,0.18523,BPSK
0.0,3,0.07914,0.07831,0.18471,BPSK
0.0,4,0.07796,0.07921,0.18364,BPSK
0.0,5,0.0787,0.07776,0.18557,BPSK
0.0,6,0.07785,0.07828,0.18546,BPSK
0.0,7,0.07831,0.07872,0.18424,BPSK
0.0,8,0.07805,0.07856,0.18268,BPSK
0.0,9,0.07802,0.07773,0.18492,BPSK
0.0,10,0.07939,0.07766,0.18679,BPSK
0.5,1,0.06596,0.0677,0.1708,BPSK
0.5,2,0.06733,0.06858,0.16924,BPSK
0.5,3,0.06611,0.06801,0.17136,BPSK
0.5,4,0.06692,0.06725,0.17421,BPSK
0.5,5,0.06701,0.06854,0.17182,BPSK
0.5,6,0.06628,0.06746,0.17256,BPSK
0.5,7,0.06719,0.0677,0.17226,BPSK
0.5,8,0.06912,0.06812,0.17052,BPSK
0.5,9,0.06639,0.06594,0.17145,BPSK
0.5,10,0.06725,0.06819,0.17164,BPSK
1.0,1,0.05758,0.05574,0.15774,BPSK
1.0,2,0.05588,0.05801,0.15755,BPSK
1.0,3,0.05641,0.05478,0.15875,BPSK
1.0,4,0.05698,0.05541,0.15809,BPSK
1.0,5,0.05605,0.05554,0.1594,BPSK
1.0,6,0.05583,0.05641,0.15932,BPSK
1.0,7,0.05685,0.05708,0.15792,BPSK
1.0,8,0.0562,0.05643,0.15654,BPSK
1.0,9,0.05611,0.05669,0.15551,BPSK
1.0,10,0.05733,0.05615,0.15606,BPSK
1.5,1,0.04563,0.04725,0.14424,BPSK
1.5,2,0.04714,0.04523,0.14316,BPSK
1.5,3,0.04633,0.04426,0.14392,BPSK
1.5,4,0.04665,0.04651,0.14059,BPSK
1.5,5,0.04732,0.04687,0.14751,BPSK
1.5,6,0.04699,0.04703,0.14515,BPSK
1.5,7,0.04742,0.04669,0.1444,BPSK
1.5,8,0.04657,0.04712,0.14397,BPSK
1.5,9,0.04572,0.0458,0.14404,BPSK
1.5,10,0.04569,0.04506,0.14492,BPSK
2.0,1,0.03798,0.03821,0.12847,BPSK
2.0,2,0.03754,0.03711,0.13054,BPSK
2.0,3,0.03583,0.03675,0.1297,BPSK
2.0,4,0.03693,0.03714,0.12995,BPSK
2.0,5,0.03789,0.03767,0.12995,BPSK
2.0,6,0.03729,0.03742,0.13305,BPSK
2.0,7,0.03865,0.03728,0.1294,BPSK
2.0,8,0.03782,0.03688,0.1283,BPSK
2.0,9,0.03873,0.03714,0.1308,BPSK
2.0,10,0.03641,0.03767,0.1291,BPSK
2.5,1,0.02907,0.02987,0.11703,BPSK
2.5,2,0.02968,0.0293,0.11686,BPSK
2.5,3,0.02967,0.03002,0.1169,BPSK
2.5,4,0.03012,0.02952,0.11593,BPSK
2.5,5,0.03021,0.03061,0.11613,BPSK
2.5,6,0.02958,0.02978,0.11548,BPSK
2.5,7,0.0296,0.02941,0.11511,BPSK
2.5,8,0.02948,0.02955,0.11529,BPSK
2.5,9,0.02821,0.03027,0.11702,BPSK
2.5,10,0.02987,0.0299,0.11549,BPSK
3.0,1,0.02306,0.02248,0.10431,BPSK
3.0,2,0.02239,0.0234,0.10417,BPSK
3.0,3,0.0229,0.02266,0.10245,BPSK
3.0,4,0.0227,0.02321,0.10326,BPSK
3.0,5,0.02241,0.02272,0.10362,BPSK
3.0,6,0.02245,0.02295,0.10436,BPSK
3.0,7,0.02282,0.02215,0.10261,BPSK
3.0,8,0.02393,0.02299,0.10339,BPSK
3.0,9,0.02299,0.02228,0.10275,BPSK
3.0,10,0.02235,0.02364,0.10426,BPSK
3.5,1,0.01637,0.01679,0.0896,BPSK
3.5,2,0.01753,0.0169,0.09119,BPSK
3.5,3,0.0176,0.01737,0.09007,BPSK
3.5,4,0.01694,0.01767,0.08953,BPSK
3.5,5,0.01698,0.01743,0.08881,BPSK
3.5,6,0.01745,0.01643,0.08726,BPSK
3.5,7,0.01675,0.01648,0.09134,BPSK
3.5,8,0.01678,0.01649,0.09187,BPSK
3.5,9,0.01708,0.01706,0.08928,BPSK
3.5,10,0.01703,0.01766,0.09063,BPSK
4.0,1,0.01199,0.01234,0.07873,BPSK
4.0,2,0.01287,0.01216,0.07755,BPSK
4.0,3,0.01313,0.01209,0.07863,BPSK
4.0,4,0.01254,0.01206,0.07803,BPSK
4.0,5,0.0126,0.01274,0.07892,BPSK
4.0,6,0.01235,0.01267,0.0772,BPSK
4.0,7,0.01244,0.01298,0.07765,BPSK
4.0,8,0.01199,0.01246,0.07992,BPSK
4.0,9,0.01252,0.01214,0.08014,BPSK
4.0,10,0.01243,0.01236,0.07688,BPSK
4.5,1,0.00889,0.00886,0.06655,QPSK
4.5,2,0.00898,0.00823,0.06731,QPSK
4.5,3,0.0086,0.00868,0.06724,QPSK
4.5,4,0.00888,0.00886,0.06587,QPSK
4.5,5,0.00922,0.00891,0.06734,QPSK
4.5,6,0.00907,0.00882,0.06596,QPSK
4.5,7,0.00917,0.00873,0.06644,QPSK
4.5,8,0.00857,0.00909,0.06546,QPSK
4.5,9,0.0091,0.00885,0.06651,QPSK
4.5,10,0.00878,0.00897,0.06722,QPSK
5.0,1,0.00603,0.00554,0.05515,QPSK
5.0,2,0.00563,0.00617,0.05715,QPSK
5.0,3,0.00597,0.00611,0.05673,QPSK
5.0,4,0.00553,0.00599,0.05715,QPSK
5.0,5,0.00549,0.00536,0.05486,QPSK
5.0,6,0.00621,0.00624,0.05521,QPSK
5.0,7,0.00575,0.00606,0.05734,QPSK
5.0,8,0.0062,0.00632,0.05612,QPSK
5.0,9,0.00598,0.0061,0.05534,QPSK
5.0,10,0.00566,0.00595,0.05514,QPSK
5.5,1,0.00375,0.00368,0.04659,QPSK
5.5,2,0.0037,0.00391,0.04499,QPSK
5.5,3,0.0041,0.00392,0.04569,QPSK
5.5,4,0.0037,0.00406,0.04438,QPSK
5.5,5,0.00388,0.00388,0.04449,QPSK
5.5,6,0.0034,0.00398,0.0461,QPSK
5.5,7,0.00413,0.00355,0.04664,QPSK
5.5,8,0.00412,0.00374,0.04579,QPSK
5.5,9,0.00397,0.00382,0.04772,QPSK
5.5,10,0.00394,0.0035,0.04561,QPSK
6.0,1,0.00239,0.00239,0.0376,QPSK
6.0,2,0.00268,0.00254,0.0375,QPSK
6.0,3,0.00245,0.00236,0.03788,QPSK
6.0,4,0.00237,0.00255,0.03614,QPSK
6.0,5,0.00225,0.0023,0.03741,QPSK
6.0,6,0.00244,0.00269,0.03725,QPSK
6.0,7,0.00273,0.00254,0.03768,QPSK
6.0,8,0.00257,0.00209,0.03706,QPSK
6.0,9,0.00237,0.00225,0.03832,QPSK
6.0,10,0.0024,0.00261,0.03708,QPSK
6.5,1,0.00137,0.00131,0.03051,QPSK
6.5,2,0.0014,0.00131,0.02841,QPSK
6.5,3,0.00123,0.00125,0.03036,QPSK
6.5,4,0.00155,0.00142,0.02995,QPSK
6.5,5,0.00139,0.00157,0.03069,QPSK
6.5,6,0.00142,0.00147,0.02825,QPSK
6.5,7,0.00142,0.00137,0.02952,QPSK
6.5,8,0.00116,0.00131,0.02912,QPSK
6.5,9,0.00146,0.00154,0.02996,QPSK
6.5,10,0.00137,0.00149,0.02901,QPSK
7.0,1,0.00065,0.00085,0.02163,QPSK
7.0,2,0.0009,0.00068,0.0223,QPSK
7.0,3,0.0007,0.0009,0.02182,QPSK
7.0,4,0.00074,0.00079,0.0221,QPSK
7.0,5,0.00074,0.00079,0.02242,QPSK
7.0,6,0.00081,0.00076,0.02274,QPSK
7.0,7,0.00098,0.00066,0.02216,QPSK
7.0,8,0.00075,0.00083,0.02201,QPSK
7.0,9,0.00079,0.00068,0.02209,QPSK
7.0,10,0.00082,0.0008,0.02292,QPSK
7.5,1,0.00043,0.00036,0.01666,QPSK
7.5,2,0.00041,0.00045,0.01678,QPSK
7.5,3,0.0003,0.00055,0.0165,QPSK
7.5,4,0.00049,0.00043,0.01597,QPSK
7.5,5,0.0004,0.0003,0.01715,QPSK
7.5,6,0.0004,0.00031,0.01584,QPSK
7.5,7,0.00057,0.00044,0.01678,QPSK
7.5,8,0.00039,0.00032,0.01686,QPSK
7.5,9,0.00048,0.00034,0.01703,QPSK
7.5,10,0.00044,0.00039,0.01603,QPSK
8.0,1,0.00023,0.00014,0.01251,QPSK
8.0,2,0.00023,0.00016,0.01146,QPSK
8.0,3,0.00029,0.00022,0.01208,QPSK
8.0,4,0.00021,0.00017,0.01213,QPSK
8.0,5,0.00016,0.0003,0.01235,QPSK
8.0,6,0.00034,0.00023,0.01271,QPSK
8.0,7,0.00028,0.00015,0.01241,QPSK
8.0,8,0.00017,0.00023,0.01214,QPSK
8.0,9,0.00023,0.00017,0.01269,QPSK
8.0,10,0.00019,0.0002,0.01218,QPSK
8.5,1,0.00013,0.00013,0.00897,16-QAM
8.5,2,6e-05,0.00014,0.00905,16-QAM
8.5,3,0.00012,0.00016,0.00848,16-QAM
8.5,4,6e-05,5e-05,0.00849,16-QAM
8.5,5,0.0001,6e-05,0.00846,16-QAM
8.5,6,0.00012,0.00012,0.00909,16-QAM
8.5,7,9e-05,6e-05,0.00877,16-QAM
8.5,8,6e-05,7e-05,0.00826,16-QAM
8.5,9,0.0001,0.00011,0.00859,16-QAM
8.5,10,8e-05,7e-05,0.00859,16-QAM
9.0,1,3e-05,7e-05,0.00584,16-QAM
9.0,2,5e-05,4e-05,0.00539,16-QAM
9.0,3,5e-05,3e-05,0.0059,16-QAM
9.0,4,5e-05,1e-05,0.00623,16-QAM
9.0,5,6e-05,3e-05,0.00583,16-QAM
9.0,6,4e-05,2e-05,0.00547,16-QAM
9.0,7,3e-05,3e-05,0.006,16-QAM
9.0,8,8e-05,3e-05,0.00545,16-QAM
9.0,9,5e-05,5e-05,0.00551,16-QAM
9.0,10,4e-05,1e-05,0.00552,16-QAM
9.5,1,0.0,0.0,0.00411,16-QAM
9.5,2,2e-05,1e-05,0.004,16-QAM
9.5,3,2e-05,2e-05,0.00375,16-QAM
9.5,4,0.0,1e-05,0.00393,16-QAM
9.5,5,1e-05,3e-05,0.0039,16-QAM
9.5,6,3e-05,1e-05,0.00414,16-QAM
9.5,7,1e-05,0.0,0.0039,16-QAM
9.5,8,0.0,2e-05,0.0037,16-QAM
9.5,9,1e-05,3e-05,0.00374,16-QAM
9.5,10,2e-05,3e-05,0.00369,16-QAM
10.0,1,1e-05,1e-05,0.00248,16-QAM
10.0,2,1e-05,1e-05,0.0026,16-QAM
10.0,3,1e-05,1e-05,0.00229,16-QAM
10.0,4,0.0,0.0,0.00224,16-QAM
10.0,5,0.0,0.0,0.00259,16-QAM
10.0,6,1e-05,1e-05,0.00216,16-QAM
10.0,7,0.0,1e-05,0.00262,16-QAM
10.0,8,1e-05,1e-05,0.00224,16-QAM
10.0,9,1e-05,1e-05,0.00233,16-QAM
10.0,10,0.0,0.0,0.00219,16-QAM
10.5,1,0.0,0.0,0.00125,16-QAM
10.5,2,0.0,0.0,0.00183,16-QAM
10.5,3,1e-05,0.0,0.00114,16-QAM
10.5,4,0.0,0.0,0.00125,16-QAM
10.5,5,0.0,0.0,0.00149,16-QAM
10.5,6,0.0,0.0,0.0015,16-QAM
10.5,7,0.0,0.0,0.0013,16-QAM
10.5,8,0.0,0.0,0.00157,16-QAM
10.5,9,0.0,0.0,0.00123,16-QAM
10.5,10,0.0,0.0,0.00152,16-QAM
11.0,1,0.0,0.0,0.00068,16-QAM
11.0,2,0.0,0.0,0.0008,16-QAM
11.0,3,0.0,0.0,0.0007,16-QAM
11.0,4,0.0,0.0,0.00063,16-QAM
11.0,5,0.0,0.0,0.00059,16-QAM
11.0,6,0.0,0.0,0.0009,16-QAM
11.0,7,0.0,0.0,0.0006,16-QAM
11.0,8,0.0,0.0,0.00062,16-QAM
11.0,9,0.0,0.0,0.0006,16-QAM
11.0,10,0.0,1e-05,0.00059,16-QAM
11.5,1,0.0,0.0,0.00054,16-QAM
11.5,2,0.0,0.0,0.00036,16-QAM
11.5,3,0.0,0.0,0.00033,16-QAM
11.5,4,0.0,0.0,0.00036,16-QAM
11.5,5,0.0,0.0,0.00051,16-QAM
11.5,6,0.0,0.0,0.00027,16-QAM
11.5,7,0.0,0.0,0.00033,16-QAM
11.5,8,0.0,0.0,0.00052,16-QAM
11.5,9,0.0,0.0,0.00043,16-QAM
11.5,10,0.0,0.0,0.00049,16-QAM
12.0,1,0.0,0.0,0.00029,16-QAM
12.0,2,0.0,0.0,0.00018,16-QAM
12.0,3,0.0,0.0,0.00012,16-QAM
12.0,4,0.0,0.0,0.00024,16-QAM
12.0,5,0.0,0.0,0.00024,16-QAM
12.0,6,0.0,0.0,0.00025,16-QAM
12.0,7,0.0,0.0,0.00018,16-QAM
12.0,8,0.0,0.0,0.00012,16-QAM
12.0,9,0.0,0.0,0.00021,16-QAM
12.0,10,0.0,0.0,0.00029,16-QAM
12.5,1,0.0,0.0,0.00011,16-QAM
12.5,2,0.0,0.0,5e-05,16-QAM
12.5,3,0.0,0.0,8e-05,16-QAM
12.5,4,0.0,0.0,8e-05,16-QAM
12.5,5,0.0,0.0,0.0001,16-QAM
12.5,6,0.0,0.0,0.00014,16-QAM
12.5,7,0.0,0.0,3e-05,16-QAM
12.5,8,0.0,0.0,9e-05,16-QAM
12.5,9,0.0,0.0,5e-05,16-QAM
12.5,10,0.0,0.0,9e-05,16-QAM
13.0,1,0.0,0.0,4e-05,16-QAM
13.0,2,0.0,0.0,6e-05,16-QAM
13.0,3,0.0,0.0,2e-05,16-QAM
13.0,4,0.0,0.0,7e-05,16-QAM
13.0,5,0.0,0.0,2e-05,16-QAM
13.0,6,0.0,0.0,6e-05,16-QAM
13.0,7,0.0,0.0,1e-05,16-QAM
13.0,8,0.0,0.0,4e-05,16-QAM
13.0,9,0.0,0.0,3e-05,16-QAM
13.0,10,0.0,0.0,4e-05,16-QAM
13.5,1,0.0,0.0,2e-05,16-QAM
13.5,2,0.0,0.0,2e-05,16-QAM
13.5,3,0.0,0.0,0.0,16-QAM
13.5,4,0.0,0.0,0.0,16-QAM
13.5,5,0.0,0.0,2e-05,16-QAM
13.5,6,0.0,0.0,3e-05,16-QAM
13.5,7,0.0,0.0,4e-05,16-QAM
13.5,8,0.0,0.0,0.0,16-QAM
13.5,9,0.0,0.0,0.0,16-QAM
13.5,10,0.0,0.0,1e-05,16-QAM
14.0,1,0.0,0.0,1e-05,16-QAM
14.0,2,0.0,0.0,0.0,16-QAM
14.0,3,0.0,0.0,1e-05,16-QAM
14.0,4,0.0,0.0,0.0,16-QAM
14.0,5,0.0,0.0,0.0,16-QAM
14.0,6,0.0,0.0,0.0,16-QAM
14.0,7,0.0,0.0,0.0,16-QAM
14.0,8,0.0,0.0,0.0,16-QAM
14.0,9,0.0,0.0,3e-05,16-QAM
14.0,10,0.0,0.0,0.0,16-QAM
14.5,1,0.0,0.0,0.0,16-QAM
14.5,2,0.0,0.0,0.0,16-QAM
14.5,3,0.0,0.0,0.0,16-QAM
14.5,4,0.0,0.0,0.0,16-QAM
14.5,5,0.0,0.0,0.0,16-QAM
14.5,6,0.0,0.0,0.0,16-QAM
14.5,7,0.0,0.0,0.0,16-QAM
14.5,8,0.0,0.0,0.0,16-QAM
14.5,9,0.0,0.0,0.0,16-QAM
14.5,10,0.0,0.0,0.0,16-QAM
15.0,1,0.0,0.0,0.0,16-QAM
15.0,2,0.0,0.0,0.0,16-QAM
15.0,3,0.0,0.0,0.0,16-QAM
15.0,4,0.0,0.0,0.0,16-QAM
15.0,5,0.0,0.0,0.0,16-QAM
15.0,6,0.0,0.0,0.0,16-QAM
15.0,7,0.0,0.0,0.0,16-QAM
15.0,8,0.0,0.0,0.0,16-QAM
15.0,9,0.0,0.0,0.0,16-QAM
15.0,10,0.0,0.0,0.0,16-QAM
15.5,1,0.0,0.0,0.0,16-QAM
15.5,2,0.0,0.0,0.0,16-QAM
15.5,3,0.0,0.0,0.0,16-QAM
15.5,4,0.0,0.0,0.0,16-QAM
15.5,5,0.0,0.0,0.0,16-QAM
15.5,6,0.0,0.0,0.0,16-QAM
15.5,7,0.0,0.0,0.0,16-QAM
15.5,8,0.0,0.0,0.0,16-QAM
15.5,9,0.0,0.0,0.0,16-QAM
15.5,10,0.0,0.0,0.0,16-QAM
16.0,1,0.0,0.0,0.0,16-QAM
16.0,2,0.0,0.0,0.0,16-QAM
16.0,3,0.0,0.0,0.0,16-QAM
16.0,4,0.0,0.0,0.0,16-QAM
16.0,5,0.0,0.0,0.0,16-QAM
16.0,6,0.0,0.0,0.0,16-QAM
16.0,7,0.0,0.0,0.0,16-QAM
16.0,8,0.0,0.0,0.0,16-QAM
16.0,9,0.0,0.0,0.0,16-QAM
16.0,10,0.0,0.0,0.0,16-QAM
16.5,1,0.0,0.0,0.0,16-QAM
16.5,2,0.0,0.0,0.0,16-QAM
16.5,3,0.0,0.0,0.0,16-QAM
16.5,4,0.0,0.0,0.0,16-QAM
16.5,5,0.0,0.0,0.0,16-QAM
16.5,6,0.0,0.0,0.0,16-QAM
16.5,7,0.0,0.0,0.0,16-QAM
16.5,8,0.0,0.0,0.0,16-QAM
16.5,9,0.0,0.0,0.0,16-QAM
16.5,10,0.0,0.0,0.0,16-QAM
17.0,1,0.0,0.0,0.0,16-QAM
17.0,2,0.0,0.0,0.0,16-QAM
17.0,3,0.0,0.0,0.0,16-QAM
17.0,4,0.0,0.0,0.0,16-QAM
17.0,5,0.0,0.0,0.0,16-QAM
17.0,6,0.0,0.0,0.0,16-QAM
17.0,7,0.0,0.0,0.0,16-QAM
17.0,8,0.0,0.0,0.0,16-QAM
17.0,9,0.0,0.0,0.0,16-QAM
17.0,10,0.0,0.0,0.0,16-QAM
17.5,1,0.0,0.0,0.0,16-QAM
17.5,2,0.0,0.0,0.0,16-QAM
17.5,3,0.0,0.0,0.0,16-QAM
17.5,4,0.0,0.0,0.0,16-QAM
17.5,5,0.0,0.0,0.0,16-QAM
17.5,6,0.0,0.0,0.0,16-QAM
17.5,7,0.0,0.0,0.0,16-QAM
17.5,8,0.0,0.0,0.0,16-QAM
17.5,9,0.0,0.0,0.0,16-QAM
17.5,10,0.0,0.0,0.0,16-QAM
18.0,1,0.0,0.0,0.0,16-QAM
18.0,2,0.0,0.0,0.0,16-QAM
18.0,3,0.0,0.0,0.0,16-QAM
18.0,4,0.0,0.0,0.0,16-QAM
18.0,5,0.0,0.0,0.0,16-QAM
18.0,6,0.0,0.0,0.0,16-QAM
18.0,7,0.0,0.0,0.0,16-QAM
18.0,8,0.0,0.0,0.0,16-QAM
18.0,9,0.0,0.0,0.0,16-QAM
18.0,10,0.0,0.0,0.0,16-QAM
18.5,1,0.0,0.0,0.0,16-QAM
18.5,2,0.0,0.0,0.0,16-QAM
18.5,3,0.0,0.0,0.0,16-QAM
18.5,4,0.0,0.0,0.0,16-QAM
18.5,5,0.0,0.0,0.0,16-QAM
18.5,6,0.0,0.0,0.0,16-QAM
18.5,7,0.0,0.0,0.0,16-QAM
18.5,8,0.0,0.0,0.0,16-QAM
18.5,9,0.0,0.0,0.0,16-QAM
18.5,10,0.0,0.0,0.0,16-QAM
19.0,1,0.0,0.0,0.0,16-QAM
19.0,2,0.0,0.0,0.0,16-QAM
19.0,3,0.0,0.0,0.0,16-QAM
19.0,4,0.0,0.0,0.0,16-QAM
19.0,5,0.0,0.0,0.0,16-QAM
19.0,6,0.0,0.0,0.0,16-QAM
19.0,7,0.0,0.0,0.0,16-QAM
19.0,8,0.0,0.0,0.0,16-QAM
19.0,9,0.0,0.0,0.0,16-QAM
19.0,10,0.0,0.0,0.0,16-QAM
19.5,1,0.0,0.0,0.0,16-QAM
19.5,2,0.0,0.0,0.0,16-QAM
19.5,3,0.0,0.0,0.0,16-QAM
19.5,4,0.0,0.0,0.0,16-QAM
19.5,5,0.0,0.0,0.0,16-QAM
19.5,6,0.0,0.0,0.0,16-QAM
19.5,7,0.0,0.0,0.0,16-QAM
19.5,8,0.0,0.0,0.0,16-QAM
19.5,9,0.0,0.0,0.0,16-QAM
19.5,10,0.0,0.0,0.0,16-QAM
20.0,1,0.0,0.0,0.0,16-QAM
20.0,2,0.0,0.0,0.0,16-QAM
20.0,3,0.0,0.0,0.0,16-QAM
20.0,4,0.0,0.0,0.0,16-QAM
20.0,5,0.0,0.0,0.0,16-QAM
20.0,6,0.0,0.0,0.0,16-QAM
20.0,7,0.0,0.0,0.0,16-QAM
20.0,8,0.0,0.0,0.0,16-QAM
20.0,9,0.0,0.0,0.0,16-QAM
20.0,10,0.0,0.0,0.0,16-QAM
20.5,1,0.0,0.0,0.0,16-QAM
20.5,2,0.0,0.0,0.0,16-QAM
20.5,3,0.0,0.0,0.0,16-QAM
20.5,4,0.0,0.0,0.0,16-QAM
20.5,5,0.0,0.0,0.0,16-QAM
20.5,6,0.0,0.0,0.0,16-QAM
20.5,7,0.0,0.0,0.0,16-QAM
20.5,8,0.0,0.0,0.0,16-QAM
20.5,9,0.0,0.0,0.0,16-QAM
20.5,10,0.0,0.0,0.0,16-QAM
